date,Indexed Sales,Public Sector Holidays,Weekday,School,University,TikTok View,TikTok Follower Gain,TikTok Phone Click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramadan,Category,Influencer Post,Event,Public Sector Salary,Private Sector Salary,Had Event,DayOfWeek,Month,IsWeekend
2025-01-05,0.093333333,0,1,1,1,0.0,0.0,0.0,6294,63.0,5014,2,0,2,0,0.0,1,0,0,Sunday,January,1
2025-01-06,0.186666667,0,1,1,1,0.0,0.0,0.0,70724,63.0,172113,50,0,2,0,0.0,1,0,0,Monday,January,0
2025-01-07,0.157333333,0,1,1,1,0.0,0.0,0.0,120754,63.0,196122,12,0,2,0,0.0,1,0,0,Tuesday,January,0
2025-01-08,0.202666667,0,1,1,1,0.0,0.0,0.0,82649,63.0,133132,18,0,2,0,0.0,1,0,0,Wednesday,January,0
2025-01-09,0.486666667,0,1,1,1,0.0,0.0,0.0,35187,63.0,83378,24,0,2,0,0.0,0,0,0,Thursday,January,0
2025-01-10,0.333333333,0,0,1,1,0.0,0.0,0.0,71453,63.0,118291,20,0,2,0,0.0,0,0,0,Friday,January,0
2025-01-11,0.36,0,0,1,1,0.0,0.0,0.0,88490,63.0,80364,4,0,2,0,0.0,0,0,0,Saturday,January,1
2025-01-12,0.661333333,0,1,1,1,0.0,0.0,0.0,74193,48.0,82990,5,0,2,0,0.0,0,0,0,Sunday,January,1
2025-01-13,0.626666667,0,1,1,1,0.0,0.0,0.0,73528,182.0,84631,7,0,2,1,0.0,0,0,0,Monday,January,0
2025-01-14,0.961,0,1,1,1,0.0,0.0,0.0,73298,115.0,90361,6,0,2,0,0.0,0,0,0,Tuesday,January,0
2025-01-15,0.72,0,1,1,1,0.0,0.0,0.0,36431,29.0,54213,2,0,2,0,0.0,0,0,0,Wednesday,January,0
2025-01-16,0.784,0,1,1,1,0.0,0.0,0.0,5765,33.0,345,0,0,2,0,0.0,0,0,0,Thursday,January,0
2025-01-17,0.753333333,0,0,1,1,0.0,0.0,0.0,9238,20.0,6252,1,0,2,0,0.0,0,0,0,Friday,January,0
2025-01-18,0.626666667,0,0,1,1,0.0,0.0,0.0,96660,26.0,140595,5,0,2,0,0.0,0,0,0,Saturday,January,1
2025-01-19,0.606666667,0,1,0,1,0.0,0.0,0.0,92540,26.0,134367,4,0,2,0,0.0,0,0,0,Sunday,January,1
2025-01-20,0.59,0,1,0,1,0.0,0.0,0.0,75949,13.0,112963,2,0,2,0,0.0,0,0,0,Monday,January,0
2025-01-21,0.573333333,0,1,0,1,0.0,0.0,0.0,5166,19.0,508,0,0,2,0,0.0,0,0,0,Tuesday,January,0
2025-01-22,0.659333333,0,1,0,1,0.0,0.0,0.0,2982,22.0,14,0,0,2,0,0.0,0,0,0,Wednesday,January,0
2025-01-23,0.646666667,0,1,0,1,0.0,0.0,0.0,2581,20.0,93,1,0,2,0,0.0,0,0,0,Thursday,January,0
2025-01-24,0.731333333,0,0,0,1,0.0,0.0,0.0,2243,21.0,33,0,0,2,0,0.0,0,0,0,Friday,January,0
2025-01-25,0.568,0,0,0,1,0.0,0.0,0.0,2300,21.0,38,0,0,2,0,0.0,0,0,0,Saturday,January,1
2025-01-26,0.72,0,1,1,1,0.0,0.0,0.0,11874,114.0,71,0,0,2,0,0.0,0,0,0,Sunday,January,1
2025-01-27,0.562,0,1,1,1,0.0,0.0,0.0,8148,110.0,26,0,0,2,0,0.0,0,0,0,Monday,January,0
2025-01-28,0.733333333,0,1,1,1,0.0,0.0,0.0,7279,33.0,8,0,0,2,0,0.0,0,0,0,Tuesday,January,0
2025-01-29,0.749333333,0,1,1,1,0.0,0.0,0.0,11262,30.0,66,1,0,2,0,0.0,0,0,0,Wednesday,January,0
2025-01-30,0.686666667,0,1,1,1,0.0,0.0,0.0,51035,15.0,50724,2,0,2,0,0.0,0,0,0,Thursday,January,0
2025-01-31,0.6,0,0,1,1,0.0,0.0,0.0,67557,28.0,61571,2,0,2,0,0.0,0,0,0,Friday,January,0
2025-02-01,0.94,0,0,1,1,0.0,0.0,0.0,63682,26.0,60371,3,0,2,0,0.0,0,1,0,Saturday,February,1
2025-02-02,0.573333333,0,1,1,1,0.0,0.0,0.0,73620,12.0,90468,2,0,2,0,0.0,0,0,0,Sunday,February,1
2025-02-03,0.653333333,0,1,1,1,0.0,0.0,0.0,83321,12.0,104323,6,0,3,0,0.0,0,0,0,Monday,February,0
2025-02-04,0.786666667,0,1,1,1,0.0,0.0,0.0,84148,16.0,114164,4,0,3,0,0.0,0,0,0,Tuesday,February,0
2025-02-05,0.762,0,1,1,1,0.0,0.0,0.0,47498,24.0,65859,2,0,3,0,0.0,1,0,0,Wednesday,February,0
2025-02-06,0.701333333,0,1,1,1,0.0,0.0,0.0,42141,28.0,52739,4,0,3,0,0.0,1,0,0,Thursday,February,0
2025-02-07,0.949333333,0,0,1,1,0.0,0.0,0.0,42379,10.0,36955,2,0,3,0,0.0,1,0,0,Friday,February,0
2025-02-08,0.930666667,0,0,1,1,0.0,0.0,0.0,21902,13.0,11647,0,0,3,0,0.0,0,0,0,Saturday,February,1
2025-02-09,0.712,0,1,1,1,0.0,0.0,0.0,1554,14.0,16,0,0,3,0,0.0,0,0,0,Sunday,February,1
2025-02-10,0.601333333,0,1,1,1,0.0,0.0,0.0,18584,41.0,32688,1,0,3,0,0.0,0,0,0,Monday,February,0
2025-02-11,0.696666667,0,1,1,1,0.0,0.0,0.0,19542,34.0,45964,1,0,3,0,0.0,0,0,0,Tuesday,February,0
2025-02-12,0.666666667,0,1,1,1,0.0,0.0,0.0,21586,94.0,46213,1,0,3,0,0.0,0,0,0,Wednesday,February,0
2025-02-13,1.180666667,0,1,1,1,0.0,0.0,0.0,38276,360.0,84478,25,0,3,1,0.0,0,0,0,Thursday,February,0
2025-02-14,1.138,0,0,1,1,0.0,0.0,0.0,29685,32.0,53866,12,0,3,0,0.0,0,0,0,Friday,February,0
2025-02-15,0.926666667,0,0,1,1,0.0,0.0,0.0,41239,50.0,53109,10,0,3,0,0.0,0,0,0,Saturday,February,1
2025-02-16,0.982666667,0,1,1,1,0.0,0.0,0.0,42816,59.0,30024,0,0,3,0,0.0,0,0,0,Sunday,February,1
2025-02-17,0.882666667,0,1,1,1,0.0,0.0,0.0,103794,108.0,169927,7,0,3,0,0.0,0,0,0,Monday,February,0
2025-02-18,0.814666667,0,1,1,1,0.0,0.0,0.0,99261,62.0,150601,4,0,3,0,0.0,0,0,0,Tuesday,February,0
2025-02-19,0.966666667,0,1,1,1,0.0,0.0,0.0,94630,34.0,114230,2,0,3,0,0.0,0,0,0,Wednesday,February,0
2025-02-20,1.441333333,0,1,1,1,0.0,0.0,0.0,49099,25.0,60906,7,0,3,0,0.0,0,0,0,Thursday,February,0
2025-02-21,1.76,0,0,1,1,0.0,0.0,0.0,12770,38.0,6287,0,0,3,0,0.0,0,0,0,Friday,February,0
2025-02-22,1.090666667,0,0,1,1,0.0,0.0,0.0,13046,51.0,6471,9,0,3,0,0.0,0,0,0,Saturday,February,1
2025-02-23,1.066666667,0,1,1,1,0.0,0.0,0.0,7188,57.0,1963,0,0,3,0,0.0,0,0,0,Sunday,February,1
2025-02-24,0.893333333,0,1,1,1,0.0,0.0,0.0,2083,25.0,78,0,0,3,0,0.0,0,0,0,Monday,February,0
2025-02-25,0.862,0,1,1,1,0.0,0.0,0.0,11636,54.0,312,0,0,3,0,0.0,0,0,0,Tuesday,February,0
2025-02-26,1.22,0,1,1,1,0.0,0.0,0.0,16522,98.0,85,0,0,3,0,0.0,0,0,0,Wednesday,February,0
2025-02-27,1.333333333,0,1,1,1,0.0,0.0,0.0,10528,47.0,94,0,0,3,0,0.0,0,0,0,Thursday,February,0
2025-02-28,1.422666667,0,0,1,1,0.0,0.0,0.0,17482,41.0,8206,1,0,3,0,0.0,0,0,0,Friday,February,0
2025-03-01,1.685333333,1,0,1,1,0.0,0.0,0.0,73681,769.0,51341,4,1,5,1,0.0,0,1,0,Saturday,March,1
2025-03-02,2.393333333,0,1,1,1,0.0,0.0,0.0,102943,1242.0,50994,9,1,5,0,0.0,0,0,0,Sunday,March,1
2025-03-03,2.699333333,0,1,1,1,0.0,0.0,0.0,62386,408.0,54281,19,1,5,0,0.0,0,0,0,Monday,March,0
2025-03-04,2.832,0,1,1,1,0.0,0.0,0.0,51569,253.0,42496,7,1,5,0,0.0,0,0,0,Tuesday,March,0
2025-03-05,2.128,1,1,0,1,0.0,0.0,0.0,35798,267.0,785,2,1,5,0,0.0,0,0,0,Wednesday,March,0
2025-03-06,3.266666667,0,1,1,1,0.0,0.0,0.0,21491,184.0,243,1,1,5,0,0.0,0,0,0,Thursday,March,0
2025-03-07,3.16,0,0,1,0,99286.0,300.0,12.0,74620,165.0,81824,2,1,5,0,0.0,0,0,0,Friday,March,0
2025-03-08,3.218666667,0,0,1,0,98682.0,279.0,34.0,90159,218.0,90188,6,1,5,0,0.0,0,0,0,Saturday,March,1
2025-03-09,2.766666667,0,1,1,0,89204.0,142.0,35.0,80458,255.0,88562,21,1,5,0,0.0,0,0,0,Sunday,March,1
2025-03-10,2.748,0,1,1,0,105871.0,178.0,9.0,106760,137.0,157245,16,1,5,0,0.0,0,0,0,Monday,March,0
2025-03-11,2.866666667,0,1,0,0,79465.0,123.0,19.0,113292,88.0,200358,22,1,5,0,0.0,0,0,0,Tuesday,March,0
2025-03-12,2.633333333,0,1,1,0,94346.0,109.0,11.0,119166,166.0,191149,15,1,5,0,0.0,0,0,0,Wednesday,March,0
2025-03-13,3.266666667,0,1,1,0,134435.0,180.0,16.0,117790,121.0,179110,7,1,5,0,0.0,1,0,0,Thursday,March,0
2025-03-14,2.989333333,0,0,1,0,57421.0,77.0,15.0,91542,85.0,146047,21,1,5,0,0.0,0,0,0,Friday,March,0
2025-03-15,3.038666667,0,0,1,0,44981.0,72.0,18.0,58032,107.0,52498,8,1,5,0,0.0,0,0,0,Saturday,March,1
2025-03-16,3.156,1,1,1,0,54609.0,92.0,12.0,30729,161.0,19284,11,1,5,0,0.0,0,0,0,Sunday,March,1
2025-03-17,2.92,0,1,1,0,40363.0,35.0,4.0,35899,206.0,15245,7,1,5,0,0.0,0,0,0,Monday,March,0
2025-03-18,2.453333333,0,1,1,0,29931.0,16.0,2.0,28364,155.0,32738,29,1,5,0,1.28,0,0,1,Tuesday,March,0
2025-03-19,2.44,0,1,1,0,73322.0,74.0,9.0,23489,155.0,27727,15,1,5,0,1.376,0,0,1,Wednesday,March,0
2025-03-20,2.564,0,1,1,0,110998.0,114.0,12.0,28053,108.0,32232,26,1,5,0,2.629333333,0,0,1,Thursday,March,0
2025-03-21,2.933333333,1,0,0,0,125936.0,144.0,8.0,19022,92.0,36146,20,1,5,0,1.495333333,0,0,1,Friday,March,0
2025-03-22,2.653333333,1,0,0,0,116073.0,143.0,7.0,12998,79.0,12043,6,1,5,0,1.719,0,0,1,Saturday,March,1
2025-03-23,2.428,1,1,0,0,68314.0,69.0,2.0,19794,63.0,29801,32,1,5,0,1.666666667,0,0,1,Sunday,March,1
2025-03-24,2.1,0,1,1,0,30156.0,7.0,5.0,19266,78.0,38052,33,1,5,0,1.026666667,0,0,1,Monday,March,0
2025-03-25,2.434,0,1,1,0,93643.0,148.0,13.0,24015,450.0,31663,26,1,5,1,1.333333333,0,0,1,Tuesday,March,0
2025-03-26,2.466666667,0,1,1,0,72122.0,151.0,7.0,19006,197.0,30518,19,1,5,0,1.248,0,0,1,Wednesday,March,0
2025-03-27,2.956,0,1,1,0,35362.0,77.0,9.0,19107,103.0,33156,23,1,5,0,1.613333333,1,0,1,Thursday,March,0
2025-03-28,2.589333333,0,0,1,0,22063.0,28.0,10.0,13856,70.0,4221,2,1,5,0,0.0,0,0,0,Friday,March,0
2025-03-29,0.0,0,0,0,0,42686.0,18.0,7.0,10530,44.0,1324,2,0,5,0,0.0,0,0,0,Saturday,March,1
2025-03-30,0.0,1,1,0,0,32459.0,7.0,6.0,15120,31.0,7531,0,0,5,0,0.0,0,0,0,Sunday,March,1
2025-03-31,0.0,1,1,0,0,15260.0,-4.0,14.0,12570,20.0,6857,1,0,5,0,0.0,0,0,0,Monday,March,0
2025-04-01,2.501333333,1,1,0,0,15210.0,11.0,5.0,10317,29.0,291,1,0,5,0,0.0,0,1,0,Tuesday,April,0
2025-04-02,1.966666667,0,1,1,0,16880.0,2.0,4.0,7749,88.0,118,1,0,5,0,0.0,0,0,0,Wednesday,April,0
2025-04-03,1.866666667,0,1,1,0,10875.0,-2.0,13.0,12784,55.0,73,0,0,5,0,0.0,0,0,0,Thursday,April,0
2025-04-04,1.78,0,0,1,0,17819.0,-5.0,5.0,10004,42.0,261,0,0,5,0,0.0,0,0,0,Friday,April,0
2025-04-05,1.82,0,0,1,0,41761.0,97.0,12.0,19085,57.0,14051,9,0,5,0,0.0,0,0,0,Saturday,April,1
2025-04-06,1.701333333,0,1,1,1,14317.0,20.0,12.0,27226,64.0,28576,20,0,5,0,0.0,0,0,0,Sunday,April,1
2025-04-07,1.368,0,1,1,1,91077.0,86.0,4.0,31650,77.0,30806,29,0,5,0,0.0,0,0,0,Monday,April,0
2025-04-08,1.541333333,0,1,1,1,146771.0,224.0,8.0,31905,56.0,27681,24,0,5,0,0.0,0,0,0,Tuesday,April,0
2025-04-09,1.502666667,0,1,0,1,159070.0,221.0,10.0,26411,88.0,45792,26,0,5,0,0.0,0,0,0,Wednesday,April,0
2025-04-10,2.04,0,1,1,1,172813.0,250.0,5.0,82639,180.0,44330,43,0,5,1,0.0,0,0,0,Thursday,April,0
2025-04-11,1.725333333,0,0,1,1,339089.0,360.0,13.0,31101,179.0,249654,569,0,5,0,0.0,0,0,0,Friday,April,0
2025-04-12,1.526666667,0,0,1,1,175686.0,210.0,6.0,42678,116.0,161984,369,0,5,0,0.0,0,0,0,Saturday,April,1
2025-04-13,1.666666667,0,1,1,1,91575.0,68.0,7.0,60354,93.0,71046,119,0,5,0,0.0,0,0,0,Sunday,April,1
2025-04-14,2.038666667,1,1,1,1,173866.0,141.0,6.0,31101,107.0,45549,71,0,5,0,0.0,0,0,0,Monday,April,0
2025-04-15,1.606666667,0,1,1,1,175707.0,82.0,17.0,42678,247.0,14370,36,0,5,0,0.0,0,0,0,Tuesday,April,0
2025-04-16,1.624,1,1,0,1,102828.0,52.0,8.0,60354,162.0,29352,36,0,5,0,0.0,0,0,0,Wednesday,April,0
2025-04-17,2.352,0,1,1,1,77986.0,30.0,4.0,46968,140.0,35517,32,0,5,0,0.0,0,0,0,Thursday,April,0
2025-04-18,1.952,0,0,1,1,137934.0,35.0,16.0,47523,71.0,39102,24,0,5,0,0.0,0,0,0,Friday,April,0
2025-04-19,1.893333333,0,0,1,1,87895.0,5.0,1.0,37065,97.0,39514,47,0,5,0,0.0,0,0,0,Saturday,April,1
2025-04-20,1.786666667,0,1,0,1,25617.0,-4.0,10.0,32991,63.0,47851,30,0,5,0,0.0,0,0,0,Sunday,April,1
2025-04-21,1.506666667,0,1,1,1,37901.0,8.0,3.0,40654,59.0,50815,38,0,5,0,0.0,0,0,0,Monday,April,0
2025-04-22,1.338,0,1,1,1,30682.0,-3.0,1.0,27555,29.0,41459,23,0,5,0,0.0,0,0,0,Tuesday,April,0
2025-04-23,1.34,0,1,1,1,32784.0,3.0,12.0,35757,36.0,44699,22,0,5,0,0.0,0,0,0,Wednesday,April,0
2025-04-24,1.704,0,1,1,1,24428.0,-1.0,3.0,56566,42.0,72573,20,0,5,0,0.0,0,0,0,Thursday,April,0
2025-04-25,1.730666667,0,0,1,1,16595.0,-1.0,8.0,58876,38.0,104609,29,0,5,0,0.0,0,0,0,Friday,April,0
2025-04-26,1.353333333,0,0,1,1,18600.0,9.0,4.0,51851,49.0,81902,30,0,5,0,0.0,0,0,0,Saturday,April,1
2025-04-27,1.205333333,0,1,1,1,14831.0,-2.0,0.0,12683,42.0,6882,23,0,5,0,0.0,0,0,0,Sunday,April,1
2025-04-28,1.032,0,1,1,1,19025.0,9.0,2.0,14194,36.0,5229,14,0,5,0,0.0,0,0,0,Monday,April,0
2025-04-29,1.104666667,0,1,1,1,20745.0,3.0,2.0,40796,47.0,42892,11,0,5,0,0.0,0,0,0,Tuesday,April,0
2025-04-30,1.024,0,1,1,1,23721.0,8.0,2.0,37786,51.0,23380,24,0,5,0,0.0,0,0,0,Wednesday,April,0
2025-05-01,1.366666667,1,1,0,0,27842.0,14.0,3.0,31838,35.0,32235,16,0,5,0,0.0,0,1,0,Thursday,May,0
2025-05-02,1.461333333,0,0,1,1,23377.0,2.0,7.0,27273,123.0,34023,18,0,5,0,0.0,0,0,0,Friday,May,0
2025-05-03,1.014666667,0,0,1,1,235598.0,77.0,3.0,33389,78.0,54100,19,0,5,0,0.0,0,0,0,Saturday,May,1
2025-05-04,1.233333333,0,1,1,1,325724.0,228.0,6.0,40855,69.0,45418,23,0,5,0,0.0,0,0,0,Sunday,May,1
2025-05-05,0.266666667,0,1,1,1,246016.0,134.0,11.0,69471,59.0,82694,17,0,5,0,0.0,0,0,0,Monday,May,0
2025-05-06,1.165333333,0,1,1,1,229659.0,99.0,14.0,85501,56.0,108514,9,0,5,0,0.0,0,0,0,Tuesday,May,0
2025-05-07,1.180666667,0,1,1,1,115403.0,44.0,5.0,74160,41.0,96195,10,0,5,0,0.0,0,0,0,Wednesday,May,0
2025-05-08,1.264,0,1,1,1,158814.0,204.0,4.0,54230,41.0,72298,10,0,5,0,0.0,0,0,0,Thursday,May,0
2025-05-09,1.350666667,0,0,1,1,142015.0,341.0,5.0,60289,28.0,86632,10,0,5,0,0.0,0,0,0,Friday,May,0
2025-05-10,1.066666667,0,0,1,1,122179.0,323.0,10.0,59896,39.0,86689,11,0,5,0,0.0,0,0,0,Saturday,May,1
2025-05-11,1.066666667,0,1,1,1,113049.0,359.0,3.0,44763,39.0,48116,15,0,5,0,0.0,0,0,0,Sunday,May,1
2025-05-12,1.141333333,0,1,1,1,56408.0,189.0,5.0,37509,40.0,49118,16,0,5,0,0.0,0,0,0,Monday,May,0
2025-05-13,1.2,0,1,1,1,27456.0,-14.0,1.0,38437,38.0,50150,13,0,5,0,0.0,0,0,0,Tuesday,May,0
2025-05-14,1.181333333,0,1,1,1,47338.0,25.0,2.0,31638,66.0,33500,10,0,5,0,0.0,0,0,0,Wednesday,May,0
2025-05-15,1.626666667,0,1,1,1,92944.0,43.0,3.0,115184,63.0,118960,5,0,5,0,0.426666667,1,0,1,Thursday,May,0
2025-05-16,1.6,0,0,1,1,310589.0,127.0,7.0,136859,59.0,177387,10,0,5,0,0.333333333,0,0,1,Friday,May,0
2025-05-17,1.266666667,0,0,1,1,212873.0,156.0,7.0,102904,175.0,98929,93,0,5,1,0.16,0,0,1,Saturday,May,1
2025-05-18,1.066666667,0,1,1,0,216498.0,268.0,3.0,51209,191.0,139851,537,0,5,0,0.0,0,0,0,Sunday,May,1
2025-05-19,1.066666667,0,1,1,0,97805.0,108.0,10.0,42948,111.0,36605,151,0,5,0,0.0,0,0,0,Monday,May,0
2025-05-20,1.066666667,0,1,1,0,160203.0,176.0,4.0,37043,111.0,15366,64,0,5,0,0.0,0,0,0,Tuesday,May,0
2025-05-21,1.066666667,0,1,1,0,210753.0,107.0,10.0,26272,62.0,8091,40,0,5,0,0.0,0,0,0,Wednesday,May,0
2025-05-22,1.066666667,0,1,1,0,117135.0,75.0,6.0,27249,51.0,5498,23,0,5,0,0.0,0,0,0,Thursday,May,0
2025-05-23,1.165333333,0,0,1,0,92651.0,63.0,21.0,64520,101.0,10304,14,0,5,0,0.0,0,0,0,Friday,May,0
2025-05-24,1.433333333,0,0,1,1,109790.0,65.0,0.0,74790,190.0,13751,22,0,5,0,0.0,0,0,0,Saturday,May,1
2025-05-25,1.298666667,0,1,1,1,169238.0,108.0,3.0,86295,206.0,16030,26,0,5,0,0.0,0,0,0,Sunday,May,1
2025-05-26,1.794666667,0,1,1,1,252357.0,192.0,7.0,76542,138.0,148096,206,0,5,0,0.0,0,0,0,Monday,May,0
2025-05-27,1.854666667,0,1,0,1,211437.0,169.0,4.0,55904,131.0,22358,37,0,5,0,0.0,0,0,0,Tuesday,May,0
2025-05-28,1.6,0,1,0,1,190328.0,117.0,12.0,39895,86.0,6914,16,0,5,0,0.0,0,0,0,Wednesday,May,0
2025-05-29,1.945333333,0,1,0,1,136768.0,58.0,12.0,25055,79.0,4903,6,0,5,0,0.0,0,0,0,Thursday,May,0
2025-05-30,1.046666667,0,0,0,1,105810.0,11.0,12.0,21830,61.0,4200,10,0,5,0,0.0,0,0,0,Friday,May,0
2025-05-31,1.066666667,0,0,0,1,88673.0,12.0,4.0,16364,52.0,2915,24,0,5,0,0.0,0,0,0,Saturday,May,1
2025-06-01,0.731333333,0,1,0,1,72155.0,9.0,5.0,15940,41.0,2335,12,0,5,0,0.0,0,1,0,Sunday,June,1
2025-06-02,1.017333333,0,1,0,1,64149.0,3.0,18.0,19670,44.0,3413,13,0,5,0,0.0,0,0,0,Monday,June,0
2025-06-03,0.967181333,0,1,0,1,48930.0,15.0,0.0,52120,46.0,37945,15,0,5,0,0.0,0,0,0,Tuesday,June,0
2025-06-04,0.967181333,0,1,0,1,38952.0,1.0,1.0,55955,57.0,39032,8,0,5,0,0.0,0,0,0,Wednesday,June,0
2025-06-05,1.248666667,0,1,0,0,76059.0,30.0,4.0,34317,56.0,24575,11,0,5,0,0.0,0,0,0,Thursday,June,0
2025-06-06,0.967181333,1,0,0,0,35156.0,-1.0,3.0,25472,21.0,23578,18,0,5,0,0.0,0,0,0,Friday,June,0
2025-06-07,0.967181333,1,0,0,0,43423.0,6.0,2.0,13092,26.0,3991,12,0,5,0,0.0,0,0,0,Saturday,June,1
2025-06-08,0.967181333,1,1,0,0,25887.0,-1.0,16.0,9117,36.0,3866,20,0,5,0,0.0,0,0,0,Sunday,June,1
2025-06-09,1.115333333,1,1,0,0,35116.0,4.0,4.0,18033,33.0,3579,11,0,5,0,0.0,0,0,0,Monday,June,0
2025-06-10,0.809333333,0,1,0,0,34174.0,7.0,1.0,13599,31.0,2852,8,0,5,0,0.0,0,0,0,Tuesday,June,0
2025-06-11,1.001333333,0,1,0,0,40392.0,-8.0,9.0,19131,36.0,3869,8,0,5,0,0.0,0,0,0,Wednesday,June,0
2025-06-12,0.973333333,0,1,0,0,38109.0,5.0,2.0,14378,36.0,2866,11,0,5,0,0.0,0,0,0,Thursday,June,0
2025-06-13,0.906666667,0,0,0,0,28779.0,3.0,1.0,10021,45.0,2019,11,0,5,0,0.0,0,0,0,Friday,June,0
2025-06-14,0.953333333,0,0,0,0,56188.0,42.0,4.0,36096,666.0,3757,13,0,5,1,0.0,0,0,0,Saturday,June,1
2025-06-15,0.953333333,0,1,0,0,186014.0,234.0,15.0,37973,369.0,9751,27,0,5,0,0.0,0,0,0,Sunday,June,1
2025-06-16,0.967181333,0,1,0,0,93046.0,88.0,5.0,22373,143.0,9037,20,0,5,0,0.0,0,0,0,Monday,June,0
2025-06-17,0.993333333,0,1,0,0,75479.0,58.0,2.0,22419,108.0,66669,106,0,5,0,0.0,0,0,0,Tuesday,June,0
2025-06-18,0.925333333,0,1,0,0,64049.0,26.0,6.0,24438,94.0,69716,110,0,5,0,0.0,0,0,0,Wednesday,June,0
2025-06-19,0.993333333,0,1,0,0,45927.0,7.0,4.0,43137,73.0,60845,66,0,5,0,0.0,0,0,0,Thursday,June,0
2025-06-20,1.0,0,0,0,0,36720.0,5.0,7.0,45990,58.0,59081,87,0,5,0,0.0,0,0,0,Friday,June,0
2025-06-21,0.967181333,0,0,0,0,34182.0,13.0,4.0,62423,70.0,48854,53,0,5,0,0.0,0,0,0,Saturday,June,1
2025-06-22,0.967181333,0,1,0,0,22854.0,-4.0,1.0,59224,41.0,48409,49,0,5,0,0.0,0,0,0,Sunday,June,1
2025-06-23,0.860666667,0,1,0,0,47084.0,17.0,5.0,70354,88.0,29171,54,0,5,0,0.0,0,0,0,Monday,June,0
2025-06-24,0.908666667,0,1,0,0,56138.0,20.0,1.0,86055,149.0,62148,112,0,5,0,0.0,0,0,0,Tuesday,June,0
2025-06-25,0.972,0,1,0,0,207812.0,104.0,2.0,128711,216.0,305841,707,0,5,0,0.0,0,0,0,Wednesday,June,0
2025-06-26,0.961333333,0,1,0,0,99301.0,11.0,2.0,59902,103.0,230078,463,0,5,0,0.0,0,0,0,Thursday,June,0
2025-06-27,1.188,0,0,0,0,85609.0,21.0,2.0,37970,91.0,66678,124,0,5,0,0.0,0,0,0,Friday,June,0
2025-06-28,0.841333333,0,0,0,0,35399.0,0.0,7.0,32088,66.0,38632,62,0,5,0,0.0,0,0,0,Saturday,June,1
2025-06-29,1.046666667,0,1,0,0,27572.0,1.0,0.0,31329,75.0,28845,25,0,5,0,0.0,0,0,0,Sunday,June,1
2025-06-30,0.877333333,0,1,0,0,36294.0,8.0,3.0,38538,82.0,31190,48,0,5,0,0.0,0,0,0,Monday,June,0
2025-07-01,0.666666667,0,1,0,0,30563.0,6.0,5.0,40404,88.0,15559,24,0,5,0,0.0,0,1,0,Tuesday,July,0
2025-07-02,0.954666667,0,1,0,0,42959.0,18.0,1.0,37264,65.0,12016,26,0,5,0,0.0,0,0,0,Wednesday,July,0
2025-07-03,0.839666667,0,1,0,0,36166.0,0.0,3.0,29933,51.0,9788,13,0,5,0,0.0,0,0,0,Thursday,July,0
2025-07-04,0.853333333,0,0,0,0,41326.0,4.0,4.0,27588,34.0,9424,19,0,5,0,0.0,0,0,0,Friday,July,0
